DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2020-Q4,131.28,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2021-Q1,132.55,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2021-Q2,135.57,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2021-Q3,138.80,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2021-Q4,139.18,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2022-Q1,141.12,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2022-Q2,143.09,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2022-Q3,146.87,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2022-Q4,145.40,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2023-Q1,146.72,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2023-Q2,146.18,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2023-Q3,147.84,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2023-Q4,149.80,p
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2005-Q1,72.66,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2005-Q2,75.77,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2005-Q3,77.96,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2005-Q4,79.84,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2006-Q1,83.62,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2006-Q2,84.99,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2006-Q3,88.87,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2006-Q4,93.77,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2007-Q1,102.51,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BG,2007-Q2,108.00,
