DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2016,128.30,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2017,136.50,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2018,145.60,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2019,154.70,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2020,167.10,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2021,187.60,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2022,197.40,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2023,178.70,p
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2005,91.79,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2006,113.85,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2007,116.50,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2008,110.62,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2009,97.15,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2010,100.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2011,98.08,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2012,95.28,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2013,98.64,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2014,102.31,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2015,109.37,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2016,115.12,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2017,120.38,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2018,125.67,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2019,128.66,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2020,135.26,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2021,151.26,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2022,150.38,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DK,2023,144.86,p
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2009,99.41,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2010,100.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2011,101.36,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2012,99.62,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2013,97.48,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2014,97.69,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2015,99.11,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2016,103.14,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2017,107.83,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2018,113.06,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2019,117.99,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2020,124.21,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2021,134.46,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2022,143.70,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA,2023,140.66,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2009,99.43,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2010,100.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2011,101.40,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2012,99.67,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2013,97.59,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2014,97.85,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2015,99.27,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2016,103.30,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2017,108.01,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2018,113.25,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2019,118.19,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2020,124.41,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2021,134.67,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2022,143.94,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA19,2023,140.80,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2009,99.45,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2010,100.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2011,101.39,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2012,99.65,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2013,97.55,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2014,97.80,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2015,99.20,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2016,103.22,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2017,107.92,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2018,113.16,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2019,118.14,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2020,124.39,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2021,134.64,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2022,143.98,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EA20,2023,141.01,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EE,2005,98.69,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EE,2006,156.23,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,EE,2007,177.06,
